Generation,Min Conflict,Max Conflict,Avg Conflict
1,0,10,4.660000
2,0,10,4.480000
3,0,9,4.360000
4,0,8,3.690000
5,0,9,3.140000
6,0,9,2.970000
7,0,7,2.880000
8,0,8,2.220000
9,0,7,1.890000
10,0,6,1.670000
11,0,4,1.480000
12,0,7,1.320000
13,0,4,1.340000
14,0,3,1.020000
15,0,4,0.720000
16,0,2,0.440000
17,0,2,0.260000
18,0,1,0.230000
19,0,3,0.160000
20,0,3,0.280000
21,0,2,0.250000
22,0,3,0.150000
23,0,2,0.190000
24,0,5,0.220000
25,0,3,0.320000
26,0,5,0.460000
27,0,4,0.510000
28,0,3,0.470000
29,0,3,0.310000
30,0,2,0.280000
31,0,2,0.170000
32,0,1,0.130000
33,0,4,0.130000
34,0,3,0.210000
35,0,2,0.120000
36,0,2,0.110000
37,0,2,0.170000
38,0,2,0.160000
39,0,4,0.210000
40,0,2,0.120000
41,0,4,0.190000
42,0,3,0.140000
43,0,3,0.160000
44,0,2,0.110000
45,0,4,0.170000
46,0,2,0.110000
47,0,3,0.160000
48,0,2,0.150000
49,0,4,0.100000
50,0,2,0.080000
51,0,2,0.130000
52,0,3,0.090000
53,0,3,0.120000
54,0,2,0.040000
55,0,2,0.030000
56,0,2,0.060000
57,0,1,0.020000
58,0,2,0.040000
59,0,2,0.060000
60,0,3,0.110000
61,0,2,0.040000
62,0,3,0.090000
63,0,3,0.130000
64,0,2,0.100000
65,0,3,0.100000
66,0,2,0.150000
67,0,1,0.110000
68,0,2,0.040000
69,0,4,0.070000
70,0,1,0.020000
71,0,3,0.050000
72,0,2,0.070000
73,0,2,0.040000
74,0,4,0.090000
75,0,3,0.170000
76,0,2,0.190000
77,0,4,0.180000
78,0,2,0.110000
79,0,3,0.080000
80,0,2,0.100000
81,0,2,0.070000
82,0,1,0.010000
83,0,3,0.060000
84,0,2,0.060000
85,0,2,0.070000
86,0,3,0.060000
87,0,1,0.020000
88,0,3,0.040000
89,0,3,0.080000
90,0,2,0.070000
91,0,2,0.030000
92,0,1,0.030000
93,0,2,0.020000
94,0,3,0.060000
95,0,2,0.080000
96,0,3,0.070000
97,0,2,0.040000
98,0,4,0.080000
99,0,2,0.060000
100,0,2,0.060000
101,0,2,0.050000
102,0,2,0.050000
103,0,2,0.020000
104,0,1,0.010000
105,0,3,0.060000
106,0,4,0.100000
107,0,3,0.090000
108,0,3,0.080000
109,0,2,0.050000
110,0,3,0.150000
111,0,2,0.140000
112,0,4,0.100000
113,0,4,0.110000
114,0,1,0.050000
115,0,2,0.090000
116,0,1,0.110000
117,0,3,0.100000
118,0,2,0.130000
119,0,2,0.090000
120,0,3,0.140000
121,0,3,0.080000
122,0,1,0.010000
123,0,2,0.040000
124,0,3,0.100000
125,0,2,0.100000
126,0,3,0.090000
127,0,1,0.010000
128,0,3,0.030000
129,0,1,0.010000
130,0,2,0.020000
131,0,2,0.090000
132,0,2,0.020000
133,0,2,0.030000
134,0,3,0.090000
135,0,3,0.080000
136,0,2,0.060000
137,0,2,0.050000
138,0,0,0.000000
139,0,3,0.060000
140,0,2,0.090000
141,0,3,0.060000
142,0,2,0.050000
143,0,3,0.100000
144,0,2,0.040000
145,0,2,0.020000
146,0,3,0.030000
147,0,3,0.040000
148,0,1,0.030000
149,0,2,0.020000
150,0,3,0.060000
151,0,2,0.060000
152,0,1,0.020000
153,0,2,0.040000
154,0,2,0.020000
155,0,0,0.000000
156,0,0,0.000000
157,0,3,0.050000
158,0,2,0.070000
159,0,3,0.090000
160,0,2,0.060000
161,0,0,0.000000
162,0,1,0.010000
163,0,3,0.040000
164,0,3,0.100000
165,0,2,0.040000
