Generation,Min Conflict,Max Conflict,Avg Conflict
1,97,145,119.420000
2,97,137,117.240000
3,94,135,114.210000
4,93,134,112.120000
5,93,133,108.980000
6,86,139,107.690000
7,89,133,106.700000
8,89,135,107.440000
9,89,129,106.890000
10,90,129,106.600000
11,93,128,106.460000
12,91,123,103.590000
13,89,131,102.730000
14,89,124,104.310000
15,90,124,103.770000
16,86,125,102.470000
17,86,119,101.370000
18,78,127,99.830000
19,73,114,97.910000
20,69,117,95.940000
21,72,111,91.910000
22,68,112,87.920000
23,68,109,85.500000
24,65,108,82.940000
25,69,105,79.550000
26,65,101,80.020000
27,59,101,79.320000
28,59,101,78.190000
29,59,92,76.910000
30,59,88,73.390000
31,58,85,70.430000
32,58,84,69.090000
33,53,77,67.120000
34,54,77,65.420000
35,55,74,63.810000
36,56,74,62.320000
37,54,71,61.510000
38,54,73,60.730000
39,53,73,59.940000
40,51,66,58.680000
41,49,66,57.460000
42,46,64,56.420000
43,46,65,54.530000
44,45,62,53.110000
45,45,58,51.820000
46,45,55,50.410000
47,45,55,49.800000
48,44,57,49.080000
49,44,55,48.810000
50,44,56,48.010000
51,43,53,47.390000
52,43,58,46.760000
53,43,52,46.510000
54,43,57,46.020000
55,43,52,45.820000
56,43,53,45.460000
57,43,48,44.990000
58,42,52,44.600000
59,42,55,44.490000
60,41,61,44.550000
61,41,56,44.710000
62,41,50,44.190000
63,41,47,44.060000
64,41,53,43.550000
65,41,47,43.310000
66,41,48,43.000000
67,41,48,42.800000
68,41,50,42.670000
69,41,54,42.540000
70,41,52,42.580000
71,41,49,42.530000
72,41,57,42.470000
73,41,49,42.140000
74,41,45,42.000000
75,41,47,41.800000
76,41,56,41.870000
77,40,45,41.660000
78,40,51,41.630000
79,40,51,41.460000
80,40,51,41.560000
81,40,47,41.330000
82,39,45,41.230000
83,38,51,41.120000
84,38,50,41.160000
85,38,54,41.110000
86,38,48,40.920000
87,38,47,40.750000
88,38,45,40.540000
89,38,44,40.220000
90,36,49,39.890000
91,36,42,39.490000
92,35,41,38.330000
93,34,46,37.750000
94,34,44,37.690000
95,34,47,37.350000
96,33,47,37.190000
97,32,48,37.030000
98,33,41,36.700000
99,30,44,36.300000
100,30,40,35.470000
101,29,39,34.980000
102,29,38,34.470000
103,29,44,33.720000
104,29,46,33.520000
105,27,38,33.180000
106,27,38,32.200000
107,27,36,31.340000
108,27,34,30.280000
109,26,36,29.640000
110,26,39,29.180000
111,26,33,28.660000
112,25,35,28.040000
113,25,38,27.830000
114,25,32,27.670000
115,26,30,27.210000
116,24,31,26.970000
117,25,35,26.980000
118,25,31,26.850000
119,25,33,26.760000
120,25,34,26.700000
121,25,34,26.650000
122,25,29,26.420000
123,25,29,26.240000
124,25,29,26.170000
125,24,28,25.970000
126,24,34,25.970000
127,24,30,25.760000
128,25,28,25.670000
129,25,32,25.520000
130,25,36,25.460000
131,24,30,25.360000
132,24,29,25.310000
133,24,29,25.220000
134,24,40,25.540000
135,24,34,25.340000
136,24,37,25.480000
137,24,43,25.510000
138,24,28,25.190000
139,24,26,25.120000
140,24,31,25.050000
141,22,42,25.120000
142,22,32,25.120000
143,22,33,25.140000
144,22,38,25.170000
145,22,34,25.100000
146,22,36,25.260000
147,22,39,25.390000
148,22,37,25.210000
149,22,29,24.970000
150,22,28,24.750000
151,22,33,24.690000
152,19,33,24.700000
153,19,35,24.720000
154,19,28,24.280000
155,19,26,23.740000
156,19,35,22.530000
157,19,31,22.240000
158,19,27,21.790000
159,19,32,21.240000
160,19,28,21.020000
161,19,37,20.720000
162,18,31,20.530000
163,18,24,20.300000
164,18,27,19.900000
165,18,27,19.860000
166,18,24,19.560000
167,18,22,19.370000
168,18,27,19.100000
169,18,21,18.830000
170,18,33,18.900000
171,18,25,18.910000
172,17,33,18.970000
173,17,34,19.020000
174,17,20,18.850000
175,18,26,18.780000
176,18,30,18.830000
177,18,29,18.880000
178,17,30,18.940000
179,17,25,18.720000
180,17,19,18.510000
181,17,31,18.350000
182,17,43,18.210000
183,17,31,18.120000
184,17,33,18.260000
185,17,26,18.120000
186,17,21,18.090000
187,17,33,18.420000
188,17,26,18.270000
189,17,30,18.210000
190,17,28,18.320000
191,18,25,18.120000
192,18,26,18.220000
193,18,33,18.400000
194,18,26,18.140000
195,18,20,18.030000
196,16,30,18.330000
197,17,25,18.080000
198,17,22,18.050000
199,18,29,18.200000
200,18,27,18.220000
201,18,25,18.160000
202,17,23,18.070000
203,17,23,18.110000
204,17,21,18.100000
205,17,24,18.040000
206,17,25,18.140000
207,17,24,18.020000
208,17,30,18.010000
209,17,36,18.220000
210,16,29,18.260000
211,17,26,18.370000
212,17,25,18.160000
213,17,27,18.390000
214,17,22,18.130000
215,17,30,18.060000
216,17,26,18.010000
217,17,28,18.070000
218,17,34,18.290000
219,17,28,18.080000
220,17,23,18.000000
221,17,19,17.860000
222,17,25,17.710000
223,17,26,17.850000
224,17,21,17.800000
225,17,24,17.710000
226,17,22,17.680000
227,17,29,17.750000
228,17,27,17.660000
229,17,20,17.420000
230,17,19,17.320000
231,17,29,17.330000
232,17,20,17.300000
233,17,18,17.120000
234,17,33,17.390000
235,14,20,17.000000
236,14,26,17.000000
237,14,24,16.950000
238,14,25,16.890000
239,14,20,16.540000
240,13,19,16.200000
241,13,18,15.500000
242,13,23,14.660000
243,13,20,14.550000
244,12,21,14.330000
245,12,17,13.960000
246,12,25,13.970000
247,12,23,13.920000
248,11,27,14.010000
249,11,22,13.890000
250,11,26,13.800000
251,11,18,13.510000
252,11,20,13.320000
253,11,22,13.120000
254,11,22,13.140000
255,11,23,12.990000
256,11,28,13.090000
257,11,18,12.860000
258,11,15,12.560000
259,11,23,12.320000
260,11,19,12.330000
261,11,25,12.280000
262,11,24,12.270000
263,11,23,12.160000
264,11,20,11.890000
265,11,14,11.790000
266,11,16,11.710000
267,11,21,11.730000
268,11,22,11.860000
269,11,20,11.630000
270,11,23,11.670000
271,11,15,11.620000
272,11,12,11.310000
273,11,19,11.150000
274,11,17,11.060000
275,11,21,11.410000
276,11,15,11.100000
277,11,19,11.220000
278,11,19,11.140000
279,11,43,11.400000
280,11,22,11.340000
281,11,25,11.350000
282,11,20,11.200000
283,11,21,11.410000
284,11,19,11.290000
285,11,18,11.180000
286,10,12,11.080000
287,10,19,11.130000
288,10,16,11.060000
289,10,18,11.120000
290,10,30,11.570000
291,10,17,11.340000
292,10,18,11.110000
293,10,23,11.430000
294,10,21,11.350000
295,10,18,11.050000
296,10,18,11.220000
297,10,22,11.370000
298,10,20,11.240000
299,10,33,11.380000
300,10,24,11.400000
301,10,14,11.190000
302,10,19,11.170000
303,10,19,11.210000
304,10,22,11.290000
305,10,14,11.090000
306,10,13,10.940000
307,10,15,10.790000
308,10,23,10.900000
309,10,18,10.710000
310,10,19,10.620000
311,10,21,10.790000
312,10,19,10.920000
313,10,18,10.610000
314,10,18,10.600000
315,10,14,10.550000
316,10,27,10.640000
317,10,15,10.410000
318,10,24,10.680000
319,10,15,10.390000
320,10,13,10.260000
321,10,11,10.130000
322,10,14,10.080000
323,10,21,10.210000
324,10,23,10.360000
325,10,25,10.260000
326,10,14,10.110000
327,10,12,10.020000
328,10,11,10.010000
329,10,12,10.040000
330,10,16,10.060000
331,10,11,10.010000
332,10,14,10.040000
333,10,15,10.050000
334,10,20,10.140000
335,10,12,10.040000
336,10,11,10.010000
337,10,20,10.210000
338,9,11,10.000000
339,9,32,10.150000
340,9,26,10.300000
341,9,18,10.250000
342,9,27,10.380000
343,9,22,10.360000
344,9,29,10.200000
345,9,25,10.160000
346,9,19,10.070000
347,9,16,10.170000
348,9,12,9.950000
349,9,12,9.890000
350,9,17,9.930000
351,9,23,10.150000
352,9,15,9.980000
353,9,19,9.890000
354,9,15,9.740000
355,9,19,9.680000
356,9,18,9.630000
357,9,18,9.650000
358,9,13,9.540000
359,9,18,9.550000
360,9,22,9.480000
361,9,15,9.400000
362,9,20,9.450000
363,9,19,9.500000
364,9,12,9.370000
365,8,23,9.580000
366,8,14,9.230000
367,8,18,9.220000
368,8,27,9.490000
369,9,27,9.340000
370,9,25,9.430000
371,9,21,9.290000
372,9,11,9.120000
373,9,13,9.070000
374,9,28,9.410000
375,9,17,9.220000
376,9,19,9.340000
377,9,24,9.250000
378,9,13,9.150000
379,9,21,9.250000
380,9,35,9.510000
381,9,22,9.250000
382,9,12,9.190000
383,9,18,9.340000
384,9,17,9.310000
385,9,27,9.410000
386,9,17,9.330000
387,9,17,9.230000
388,9,16,9.280000
389,9,14,9.180000
390,9,26,9.220000
391,9,12,9.070000
392,9,19,9.180000
393,8,21,9.230000
394,8,17,9.180000
395,8,22,9.200000
396,8,19,9.120000
397,8,21,9.210000
398,8,22,9.150000
399,8,13,9.020000
400,8,21,9.040000
401,8,11,8.880000
402,8,18,8.920000
403,8,9,8.710000
404,8,13,8.130000
405,8,30,8.690000
406,8,18,8.700000
407,8,15,8.370000
408,8,17,8.240000
409,8,13,8.130000
410,8,19,8.150000
411,8,16,8.240000
412,7,19,8.190000
413,8,22,8.310000
414,8,13,8.080000
415,8,10,8.040000
416,8,9,8.030000
417,8,12,8.040000
418,8,19,8.160000
419,8,9,8.010000
420,8,15,8.260000
421,8,13,8.060000
422,8,9,8.010000
423,8,14,8.140000
424,8,20,8.150000
425,8,18,8.200000
426,8,17,8.190000
427,8,28,8.390000
428,8,14,8.220000
429,8,12,8.130000
430,8,26,8.310000
431,8,17,8.190000
432,8,22,8.330000
433,8,17,8.160000
434,8,18,8.190000
435,8,31,8.480000
436,8,18,8.450000
437,8,14,8.220000
438,8,15,8.140000
439,8,12,8.100000
440,8,16,8.300000
441,8,21,8.190000
442,8,12,8.130000
443,8,20,8.480000
444,8,26,8.370000
445,8,20,8.180000
446,8,16,8.260000
447,8,19,8.250000
448,8,17,8.250000
449,8,27,8.420000
450,8,19,8.490000
451,8,27,8.460000
452,7,19,8.320000
453,8,17,8.250000
454,8,17,8.270000
455,8,14,8.110000
456,8,25,8.430000
457,8,16,8.310000
458,8,28,8.790000
459,7,20,8.650000
460,8,16,8.610000
461,7,18,8.380000
462,7,22,8.310000
463,8,21,8.680000
464,8,19,8.470000
465,8,18,8.490000
466,8,15,8.250000
467,8,21,8.170000
468,8,17,8.140000
469,8,9,8.040000
470,8,27,8.360000
471,8,24,8.340000
472,8,34,8.300000
473,8,19,8.280000
474,8,11,8.150000
475,8,20,8.300000
