Generation,Min Conflict,Max Conflict,Avg Conflict
1,26,48,36.730000
2,25,45,34.530000
3,23,46,33.010000
4,25,44,31.920000
5,24,41,31.330000
6,21,40,30.620000
7,21,39,29.230000
8,21,38,28.680000
9,12,38,28.100000
10,12,36,26.870000
11,11,34,25.690000
12,11,34,24.110000
13,11,34,22.640000
14,11,31,20.240000
15,11,29,19.320000
16,11,28,18.200000
17,12,24,17.450000
18,11,27,16.190000
19,11,25,14.860000
20,11,19,14.050000
21,11,18,13.250000
22,9,19,12.960000
23,10,20,12.700000
24,10,18,12.530000
25,10,15,12.100000
26,9,17,11.650000
27,8,16,11.390000
28,8,15,10.940000
29,8,14,10.590000
30,8,13,10.090000
31,8,12,9.670000
32,7,11,9.210000
33,7,11,8.850000
34,7,10,8.590000
35,7,11,8.390000
36,7,12,8.300000
37,7,10,8.180000
38,6,9,7.960000
39,6,9,7.760000
40,6,9,7.540000
41,6,11,7.390000
42,6,8,7.160000
43,6,9,6.680000
44,6,9,6.550000
45,6,9,6.540000
46,6,9,6.440000
47,5,9,6.300000
48,6,9,6.250000
49,6,8,6.110000
50,6,9,6.090000
51,5,10,6.070000
52,5,10,6.070000
53,5,9,6.050000
54,5,10,6.090000
55,5,9,6.050000
56,5,10,6.160000
57,5,9,6.090000
58,5,8,5.890000
59,5,8,5.830000
60,5,8,5.740000
61,5,7,5.690000
62,5,8,5.550000
63,5,7,5.360000
64,5,10,5.280000
65,5,7,5.230000
66,5,6,5.220000
67,5,7,5.040000
68,5,7,5.030000
69,5,8,5.080000
70,5,7,5.040000
71,5,7,5.020000
72,5,6,5.020000
73,5,7,5.020000
74,5,8,5.040000
75,5,8,5.090000
76,5,8,5.090000
77,5,11,5.140000
78,4,8,5.070000
79,4,6,4.990000
80,4,8,5.050000
81,4,7,5.030000
82,4,7,5.040000
83,4,8,5.070000
84,4,7,4.980000
85,4,9,5.070000
86,4,7,4.880000
87,4,8,4.910000
88,4,8,4.830000
89,4,9,4.800000
90,4,7,4.620000
91,4,10,4.610000
92,4,7,4.500000
93,3,6,4.490000
94,3,8,4.480000
95,3,10,4.480000
96,3,6,4.300000
97,3,6,4.160000
98,3,6,4.030000
99,3,9,4.070000
100,3,7,4.070000
101,3,6,3.910000
102,3,5,3.720000
103,3,6,3.510000
104,3,7,3.380000
105,3,8,3.350000
106,3,6,3.320000
107,3,7,3.230000
108,3,5,3.140000
109,3,7,3.140000
110,3,7,3.120000
111,3,7,3.120000
112,3,7,3.110000
113,3,6,3.140000
114,3,6,3.120000
115,3,5,3.060000
116,3,5,3.050000
117,3,4,3.010000
118,3,6,3.080000
119,3,6,3.130000
120,3,6,3.080000
121,3,7,3.130000
122,2,6,3.140000
123,2,6,3.040000
124,2,7,3.060000
125,2,6,3.030000
126,2,6,2.990000
127,2,6,2.960000
128,2,5,2.930000
129,2,6,2.930000
130,2,6,2.950000
131,2,3,2.830000
132,2,4,2.150000
133,2,5,2.110000
134,2,4,2.050000
135,2,5,2.090000
136,2,7,2.130000
137,2,5,2.150000
138,2,4,2.020000
139,2,7,2.120000
140,2,6,2.120000
141,2,6,2.140000
142,2,4,2.120000
143,2,5,2.170000
144,2,4,2.130000
145,2,3,2.020000
146,2,6,2.060000
147,2,5,2.060000
148,2,6,2.080000
149,2,6,2.090000
150,2,5,2.090000
151,2,4,2.040000
152,2,5,2.050000
153,2,3,2.020000
154,2,2,2.000000
155,2,5,2.090000
156,2,4,2.020000
157,2,5,2.060000
158,2,5,2.030000
159,2,2,2.000000
160,2,5,2.080000
161,2,3,2.010000
162,2,6,2.040000
163,2,5,2.080000
164,2,5,2.070000
165,2,4,2.050000
166,2,3,2.020000
167,2,4,2.070000
168,2,3,2.030000
169,2,6,2.150000
170,2,4,2.060000
171,2,2,2.000000
172,2,3,2.010000
173,2,6,2.130000
174,2,4,2.050000
175,2,6,2.190000
176,2,5,2.080000
177,2,5,2.040000
178,2,4,2.040000
179,2,2,2.000000
180,2,3,2.020000
181,2,5,2.060000
182,2,5,2.030000
183,2,6,2.060000
184,2,2,2.000000
185,2,4,2.030000
186,2,2,2.000000
187,2,4,2.060000
188,2,6,2.120000
189,2,6,2.060000
190,2,5,2.040000
191,2,3,2.040000
192,2,4,2.030000
193,2,6,2.060000
194,2,4,2.020000
195,2,4,2.020000
196,2,2,2.000000
197,2,4,2.020000
198,2,5,2.060000
199,2,4,2.040000
200,2,4,2.030000
201,2,4,2.020000
202,2,4,2.030000
203,2,4,2.030000
204,1,3,2.000000
205,1,5,2.040000
206,1,6,2.100000
207,1,4,2.030000
208,1,5,2.030000
209,1,2,1.910000
210,1,4,1.190000
211,1,5,1.110000
