Generation,Min Conflict,Max Conflict,Avg Conflict
1,1,10,4.790000
2,0,7,4.320000
3,0,9,4.030000
4,0,8,4.060000
5,0,11,3.740000
6,0,9,3.790000
7,0,8,3.510000
8,0,7,3.200000
9,0,8,2.580000
10,0,7,2.660000
11,0,7,2.630000
12,0,8,2.500000
13,0,7,2.590000
14,0,7,2.610000
15,0,8,2.320000
16,0,8,2.240000
17,0,7,1.990000
18,0,5,1.820000
19,0,4,1.500000
20,0,5,1.210000
21,0,7,1.130000
22,0,4,1.150000
23,0,7,0.850000
24,0,6,1.000000
25,0,5,1.080000
26,0,4,0.790000
27,0,3,0.690000
28,0,3,0.530000
29,0,2,0.360000
30,0,4,0.340000
31,0,2,0.360000
32,0,3,0.270000
33,0,3,0.290000
34,0,2,0.240000
35,0,1,0.130000
36,0,3,0.100000
37,0,3,0.180000
38,0,2,0.100000
39,0,1,0.040000
40,0,2,0.090000
41,0,3,0.110000
42,0,5,0.130000
43,0,2,0.090000
44,0,4,0.080000
45,0,4,0.130000
46,0,2,0.200000
47,0,1,0.080000
48,0,3,0.110000
49,0,2,0.160000
50,0,3,0.150000
51,0,5,0.140000
52,0,2,0.120000
53,0,2,0.070000
54,0,3,0.170000
55,0,2,0.130000
56,0,5,0.140000
57,0,3,0.150000
58,0,2,0.120000
59,0,3,0.140000
60,0,5,0.240000
61,0,2,0.140000
62,0,2,0.040000
63,0,3,0.050000
64,0,3,0.090000
65,0,2,0.070000
66,0,3,0.070000
67,0,3,0.040000
68,0,4,0.090000
69,0,2,0.110000
70,0,2,0.050000
71,0,2,0.070000
72,0,4,0.100000
73,0,4,0.120000
74,0,2,0.090000
75,0,3,0.030000
76,0,4,0.040000
77,0,0,0.000000
78,0,2,0.040000
79,0,4,0.070000
80,0,0,0.000000
81,0,0,0.000000
82,0,2,0.050000
83,0,2,0.040000
84,0,3,0.070000
85,0,5,0.120000
86,0,3,0.100000
87,0,3,0.030000
88,0,5,0.050000
89,0,0,0.000000
90,0,4,0.130000
91,0,5,0.110000
92,0,4,0.100000
93,0,2,0.020000
94,0,3,0.040000
95,0,3,0.100000
96,0,1,0.020000
97,0,2,0.050000
98,0,3,0.060000
99,0,3,0.100000
100,0,3,0.090000
101,0,2,0.130000
102,0,2,0.060000
103,0,3,0.030000
104,0,5,0.060000
105,0,5,0.070000
106,0,3,0.160000
107,0,2,0.050000
108,0,0,0.000000
109,0,0,0.000000
110,0,2,0.020000
111,0,2,0.020000
112,0,2,0.030000
113,0,2,0.050000
114,0,2,0.040000
115,0,2,0.060000
116,0,3,0.080000
117,0,4,0.060000
118,0,0,0.000000
119,0,3,0.060000
120,0,2,0.040000
121,0,0,0.000000
122,0,0,0.000000
123,0,3,0.080000
124,0,2,0.060000
125,0,2,0.020000
126,0,3,0.100000
127,0,2,0.060000
128,0,2,0.030000
129,0,3,0.030000
130,0,0,0.000000
131,0,4,0.070000
132,0,4,0.090000
133,0,2,0.070000
134,0,2,0.050000
135,0,3,0.090000
