Generation,Min Conflict,Max Conflict,Avg Conflict
1,20,58,31.880000
2,20,40,31.340000
3,21,45,30.760000
4,21,41,29.700000
5,21,41,29.420000
6,21,39,28.720000
7,20,45,28.420000
8,19,37,28.150000
9,18,42,27.760000
10,17,39,27.150000
11,17,37,26.870000
12,17,36,25.680000
13,17,33,24.800000
14,17,36,23.910000
15,17,35,23.680000
16,17,32,23.750000
17,17,33,23.140000
18,14,31,22.610000
19,14,34,22.190000
20,15,33,21.280000
21,15,32,21.680000
22,11,29,20.740000
23,11,31,19.960000
24,11,30,20.050000
25,11,31,20.000000
26,11,28,19.990000
27,11,25,19.430000
28,11,27,19.090000
29,12,27,18.970000
30,12,25,17.940000
31,12,24,17.460000
32,12,26,17.190000
33,12,23,16.980000
34,11,24,16.480000
35,10,23,16.240000
36,10,29,16.000000
37,9,22,15.380000
38,9,23,14.860000
39,9,20,13.900000
40,8,20,12.960000
41,8,19,12.620000
42,8,17,12.350000
43,8,16,11.710000
44,6,15,10.770000
45,8,14,10.320000
46,7,14,10.070000
47,8,14,9.840000
48,6,16,9.360000
49,6,14,9.170000
50,6,14,8.400000
51,6,13,7.830000
52,6,11,7.470000
53,6,12,7.090000
54,6,8,6.680000
55,6,12,6.120000
56,6,12,6.160000
57,6,10,6.070000
58,6,11,6.180000
59,6,13,6.180000
60,6,10,6.120000
61,6,11,6.150000
62,6,13,6.260000
63,6,11,6.190000
64,6,10,6.080000
65,6,9,6.050000
66,6,12,6.160000
67,6,12,6.140000
68,6,12,6.200000
69,6,13,6.190000
70,6,11,6.130000
71,6,9,6.060000
72,6,12,6.190000
73,6,10,6.080000
74,6,10,6.090000
75,6,12,6.170000
76,6,10,6.130000
77,6,9,6.040000
78,6,11,6.150000
79,6,14,6.080000
80,6,10,6.040000
81,6,6,6.000000
82,6,11,6.080000
83,6,10,6.040000
84,6,12,6.100000
85,6,11,6.100000
86,6,8,6.040000
87,6,9,6.030000
88,6,8,6.020000
89,6,12,6.140000
90,6,13,6.070000
91,6,11,6.100000
92,6,9,6.030000
93,6,12,6.120000
94,6,11,6.110000
95,6,10,6.160000
96,6,11,6.090000
97,6,11,6.230000
98,6,11,6.200000
99,6,13,6.240000
100,6,11,6.110000
101,6,13,6.220000
102,6,11,6.120000
103,6,13,6.070000
