Generation,Min Conflict,Max Conflict,Avg Conflict
1,18,46,26.650000
2,16,40,26.230000
3,13,36,25.160000
4,13,33,24.250000
5,14,33,22.340000
6,11,32,22.090000
7,11,31,21.900000
8,11,31,21.350000
9,12,32,20.790000
10,12,32,20.480000
11,13,34,20.500000
12,13,33,20.880000
13,13,32,20.330000
14,13,31,20.230000
15,13,28,19.960000
16,15,30,20.090000
17,13,30,19.670000
18,12,30,18.650000
19,12,25,17.880000
20,12,26,16.940000
21,12,23,16.380000
22,11,21,15.580000
23,12,21,15.140000
24,11,21,15.040000
25,10,20,14.680000
26,11,17,14.080000
27,10,18,13.500000
28,10,18,13.380000
29,10,19,13.250000
30,9,16,12.900000
31,8,16,11.920000
32,7,15,11.440000
33,7,15,10.710000
34,7,14,10.200000
35,7,15,9.930000
36,6,15,9.580000
37,6,13,9.270000
38,6,12,8.780000
39,5,12,8.160000
40,5,12,7.780000
41,5,10,7.350000
42,4,9,6.900000
43,5,9,6.530000
44,4,10,6.360000
45,4,9,6.030000
46,4,7,5.670000
47,4,7,5.400000
48,3,8,5.180000
49,3,8,5.040000
50,3,7,4.990000
51,3,6,4.720000
52,3,8,4.350000
53,3,6,4.230000
54,3,5,3.860000
55,3,5,3.540000
56,3,5,3.490000
57,2,9,3.470000
58,2,7,3.430000
59,3,5,3.230000
60,3,5,3.180000
61,3,5,3.120000
62,3,4,3.040000
63,3,4,3.020000
64,3,4,3.010000
65,3,5,3.040000
66,3,5,3.070000
67,3,5,3.080000
68,3,5,3.080000
69,3,5,3.040000
70,3,4,3.030000
71,3,5,3.020000
72,3,5,3.060000
73,2,4,3.040000
74,2,5,3.000000
75,2,3,2.990000
76,2,5,2.430000
77,2,3,2.260000
78,2,5,2.080000
79,2,4,2.080000
80,2,4,2.050000
81,2,3,2.010000
82,2,3,2.020000
83,2,5,2.050000
84,2,4,2.080000
85,2,4,2.050000
86,2,5,2.050000
87,2,4,2.050000
88,2,2,2.000000
89,2,3,2.010000
90,2,4,2.030000
91,2,5,2.050000
92,2,4,2.060000
93,2,3,2.040000
94,2,7,2.060000
95,2,4,2.080000
96,2,6,2.100000
97,2,5,2.110000
98,2,4,2.050000
99,2,3,2.080000
100,2,6,2.060000
101,2,2,2.000000
102,2,3,2.010000
103,2,6,2.080000
104,2,4,2.060000
105,2,4,2.040000
106,2,3,2.010000
107,2,4,2.030000
108,1,5,2.030000
109,2,3,2.020000
110,2,3,2.020000
111,2,4,2.060000
112,2,4,2.040000
113,2,5,2.090000
114,2,4,2.050000
115,2,4,2.030000
116,2,4,2.080000
117,2,3,2.050000
118,2,6,2.040000
119,2,5,2.040000
120,2,3,2.010000
121,2,4,2.030000
122,2,4,2.040000
123,2,2,2.000000
124,2,3,2.020000
125,2,3,2.010000
126,2,5,2.080000
127,2,7,2.120000
128,2,4,2.060000
129,2,4,2.030000
130,2,4,2.040000
131,2,3,2.050000
132,2,5,2.090000
133,2,3,2.030000
134,2,4,2.050000
135,2,5,2.050000
136,2,7,2.080000
137,2,5,2.080000
138,2,4,2.090000
139,2,7,2.130000
140,2,4,2.100000
141,2,6,2.140000
142,2,4,2.160000
143,2,4,2.090000
144,2,4,2.110000
145,2,4,2.040000
146,2,5,2.050000
147,2,3,2.010000
148,2,3,2.020000
149,2,4,2.050000
150,2,3,2.020000
151,2,4,2.060000
152,2,4,2.080000
153,2,3,2.070000
154,2,3,2.040000
155,2,7,2.110000
156,2,4,2.090000
157,2,4,2.070000
158,2,5,2.110000
159,2,3,2.020000
160,2,4,2.050000
161,2,5,2.100000
162,2,3,2.010000
163,2,5,2.060000
164,2,3,2.030000
165,2,4,2.020000
166,2,6,2.100000
167,2,4,2.070000
168,2,3,2.050000
169,2,4,2.040000
170,2,4,2.030000
171,2,5,2.090000
172,2,4,2.080000
173,2,3,2.050000
174,2,3,2.020000
175,2,4,2.060000
176,2,4,2.040000
177,2,4,2.050000
178,2,2,2.000000
179,2,5,2.080000
180,2,4,2.110000
181,2,7,2.070000
182,2,5,2.050000
183,2,5,2.050000
184,2,3,2.050000
185,2,5,2.040000
186,2,3,2.020000
187,2,4,2.030000
188,2,6,2.120000
189,2,5,2.120000
190,2,4,2.040000
191,1,3,2.010000
192,1,3,2.020000
193,1,3,2.010000
194,1,3,2.000000
195,1,4,1.960000
196,1,4,1.890000
197,1,3,1.810000
198,1,4,1.690000
199,1,4,1.670000
200,1,8,1.670000
201,1,5,1.520000
202,1,3,1.510000
203,1,4,1.410000
204,1,3,1.350000
205,1,5,1.260000
206,1,2,1.150000
207,1,5,1.110000
208,1,3,1.030000
209,1,2,1.010000
210,1,3,1.040000
211,1,6,1.140000
212,1,2,1.050000
213,1,3,1.040000
214,1,3,1.050000
215,1,2,1.050000
216,1,3,1.040000
217,1,4,1.050000
218,1,3,1.070000
219,1,3,1.060000
220,1,2,1.020000
221,1,2,1.010000
222,1,2,1.010000
223,1,4,1.060000
224,1,1,1.000000
225,1,2,1.010000
226,1,2,1.020000
227,1,4,1.080000
228,1,6,1.120000
229,1,4,1.080000
230,1,3,1.130000
231,1,2,1.050000
232,1,3,1.050000
233,1,3,1.050000
234,1,3,1.020000
235,1,2,1.010000
236,1,2,1.010000
237,1,5,1.060000
238,1,4,1.050000
239,1,3,1.050000
240,1,5,1.100000
241,1,3,1.040000
242,1,3,1.080000
243,1,3,1.090000
244,1,3,1.090000
245,1,6,1.130000
246,1,5,1.140000
247,1,2,1.060000
248,1,4,1.060000
249,1,3,1.050000
250,1,3,1.090000
251,1,3,1.110000
252,1,3,1.110000
253,1,3,1.060000
254,1,3,1.040000
255,1,2,1.020000
256,1,3,1.020000
257,1,2,1.010000
258,1,3,1.050000
259,1,3,1.040000
260,1,3,1.040000
261,1,5,1.050000
262,1,4,1.060000
263,1,5,1.110000
264,1,8,1.130000
265,1,7,1.200000
266,1,4,1.080000
267,1,2,1.040000
268,1,5,1.060000
269,1,3,1.040000
270,1,4,1.030000
271,1,3,1.020000
272,1,2,1.020000
273,1,3,1.020000
274,1,3,1.030000
275,1,1,1.000000
276,1,4,1.030000
277,1,4,1.040000
278,1,3,1.090000
279,1,2,1.030000
280,1,3,1.020000
281,1,5,1.040000
282,1,3,1.030000
283,1,2,1.020000
284,1,1,1.000000
285,1,3,1.040000
286,1,3,1.080000
287,1,3,1.040000
288,1,2,1.020000
289,1,3,1.040000
290,1,2,1.010000
291,1,3,1.040000
292,1,2,1.020000
293,1,2,1.010000
294,1,4,1.070000
295,1,2,1.020000
296,1,4,1.070000
297,1,3,1.020000
298,1,2,1.010000
299,1,2,1.010000
300,1,3,1.060000
301,1,4,1.060000
302,1,3,1.040000
303,1,1,1.000000
304,1,2,1.010000
305,1,3,1.080000
306,1,2,1.010000
307,1,3,1.040000
308,1,8,1.210000
309,1,6,1.270000
310,1,3,1.120000
311,1,3,1.100000
312,1,3,1.120000
313,1,3,1.110000
314,1,4,1.110000
315,1,2,1.100000
316,1,2,1.010000
317,1,2,1.020000
318,1,4,1.050000
319,1,2,1.020000
320,1,3,1.030000
321,1,2,1.020000
322,1,3,1.040000
323,1,3,1.030000
324,1,7,1.130000
325,1,4,1.130000
326,1,3,1.120000
327,1,3,1.060000
328,1,3,1.080000
329,1,3,1.070000
330,1,3,1.050000
331,1,6,1.120000
332,1,2,1.060000
333,1,3,1.030000
334,1,2,1.020000
335,1,5,1.080000
336,1,3,1.080000
337,1,7,1.070000
338,1,5,1.090000
339,1,4,1.080000
340,1,3,1.060000
341,1,3,1.070000
342,1,2,1.010000
343,1,3,1.020000
344,1,3,1.020000
345,1,3,1.020000
346,1,3,1.020000
347,1,2,1.010000
348,1,3,1.060000
349,1,4,1.050000
350,1,3,1.020000
351,1,3,1.030000
352,1,3,1.020000
353,1,2,1.010000
354,1,1,1.000000
355,1,8,1.090000
356,1,3,1.070000
357,1,3,1.070000
358,1,6,1.180000
359,1,3,1.080000
360,1,2,1.060000
361,1,2,1.040000
362,1,3,1.020000
363,1,1,1.000000
364,1,2,1.010000
365,1,1,1.000000
366,1,3,1.030000
367,1,8,1.110000
368,1,2,1.020000
369,1,3,1.050000
370,1,3,1.050000
371,1,3,1.050000
372,1,3,1.040000
373,1,2,1.020000
374,1,2,1.010000
375,1,3,1.020000
376,1,4,1.060000
377,1,3,1.050000
378,1,5,1.060000
379,1,2,1.010000
380,1,2,1.010000
381,1,3,1.020000
382,1,3,1.030000
383,1,1,1.000000
384,1,2,1.010000
385,1,3,1.030000
386,1,3,1.030000
387,1,4,1.080000
388,1,1,1.000000
389,1,3,1.030000
390,1,4,1.080000
391,1,5,1.080000
392,1,3,1.050000
393,1,2,1.030000
394,1,4,1.070000
395,1,2,1.020000
396,1,2,1.010000
397,1,2,1.040000
398,1,3,1.020000
399,1,2,1.010000
400,1,2,1.010000
401,1,3,1.080000
402,1,3,1.060000
403,1,4,1.050000
404,1,2,1.050000
405,1,2,1.010000
406,1,4,1.070000
407,1,3,1.050000
408,1,4,1.100000
409,1,3,1.100000
410,1,2,1.070000
411,1,4,1.070000
412,1,3,1.070000
413,1,3,1.060000
414,1,2,1.060000
415,1,3,1.040000
416,1,1,1.000000
417,1,1,1.000000
418,1,2,1.010000
419,1,4,1.050000
420,1,4,1.120000
421,1,3,1.080000
422,1,4,1.090000
423,1,4,1.050000
424,1,1,1.000000
425,1,3,1.020000
426,1,3,1.030000
427,1,1,1.000000
428,1,2,1.030000
429,1,4,1.050000
430,1,2,1.010000
431,1,2,1.010000
432,1,4,1.050000
433,1,4,1.060000
434,1,5,1.060000
435,1,3,1.040000
436,1,4,1.100000
437,1,2,1.020000
438,1,5,1.100000
439,1,3,1.050000
440,1,5,1.100000
441,1,4,1.120000
442,1,3,1.040000
443,1,2,1.010000
444,1,2,1.010000
445,1,2,1.010000
446,1,6,1.060000
447,1,2,1.060000
448,1,3,1.030000
449,1,8,1.080000
450,1,3,1.030000
451,1,2,1.010000
452,1,3,1.020000
453,1,3,1.040000
454,1,3,1.020000
455,0,5,1.040000
456,1,2,1.010000
457,1,2,1.020000
458,1,4,1.040000
459,1,2,1.040000
460,1,3,1.020000
461,1,2,1.030000
462,1,4,1.060000
463,1,5,1.070000
464,1,3,1.060000
465,1,3,1.080000
466,1,5,1.110000
467,1,4,1.080000
468,1,8,1.160000
469,1,3,1.100000
470,1,3,1.100000
471,1,3,1.070000
472,1,2,1.020000
473,1,8,1.130000
474,1,3,1.100000
475,1,3,1.040000
476,1,1,1.000000
477,1,3,1.020000
478,1,2,1.030000
479,1,3,1.040000
480,1,3,1.030000
481,1,1,1.000000
482,1,3,1.040000
483,1,2,1.020000
484,1,2,1.050000
485,1,4,1.040000
486,1,3,1.100000
487,1,4,1.130000
488,1,2,1.030000
489,1,3,1.020000
490,1,2,1.010000
491,1,3,1.040000
492,1,1,1.000000
493,1,2,1.020000
494,1,3,1.030000
495,1,1,1.000000
496,1,3,1.040000
497,1,7,1.080000
498,1,2,1.020000
499,1,3,1.030000
500,1,3,1.040000
501,1,5,1.060000
502,1,4,1.120000
503,1,3,1.080000
504,1,3,1.060000
505,1,4,1.070000
506,1,3,1.050000
507,1,3,1.080000
508,1,1,1.000000
509,1,7,1.060000
510,1,4,1.060000
511,1,3,1.050000
512,1,2,1.010000
513,1,3,1.030000
514,1,4,1.040000
515,1,6,1.100000
516,1,5,1.090000
517,1,2,1.030000
518,1,1,1.000000
519,1,4,1.050000
520,1,2,1.010000
521,1,2,1.020000
522,1,3,1.020000
523,1,3,1.060000
524,1,3,1.040000
525,0,4,1.050000
526,1,3,1.050000
527,1,3,1.050000
528,1,2,1.010000
529,1,4,1.050000
530,1,6,1.110000
531,1,5,1.060000
532,1,2,1.020000
533,1,1,1.000000
534,1,8,1.110000
