Generation,Min Conflict,Max Conflict,Avg Conflict
1,25,97,39.700000
2,25,44,37.720000
3,24,18,36.140000
4,24,83,34.650000
5,23,56,33.100000
6,22,23,31.810000
7,20,70,31.200000
8,22,40,31.030000
9,20,13,29.930000
10,22,4,31.060000
11,20,79,29.910000
12,19,19,29.490000
13,18,89,27.510000
14,18,59,26.010000
15,18,48,25.560000
16,19,18,25.020000
17,18,58,24.050000
18,17,8,23.840000
19,16,53,22.800000
20,16,96,22.570000
21,16,53,21.970000
22,14,35,20.970000
23,14,59,20.470000
24,13,57,19.630000
25,11,60,19.500000
26,11,8,18.750000
27,9,7,18.420000
28,9,32,17.740000
29,8,63,16.300000
30,8,73,15.440000
31,7,38,14.930000
32,8,34,13.670000
33,7,31,12.210000
34,6,9,11.430000
35,6,38,11.430000
36,6,7,10.640000
37,6,74,10.290000
38,6,3,10.320000
39,6,9,9.460000
40,4,27,8.820000
41,5,48,8.740000
42,5,33,8.630000
43,5,33,7.990000
44,4,54,7.330000
45,5,41,6.920000
46,5,17,6.800000
47,5,1,6.730000
48,4,25,6.460000
49,4,48,6.300000
50,4,2,6.150000
51,5,21,6.090000
52,4,32,6.170000
53,4,16,5.900000
54,4,8,5.630000
55,3,52,5.380000
56,3,41,4.990000
57,3,68,4.920000
58,3,50,4.860000
59,3,2,4.360000
60,3,60,4.060000
61,3,95,3.900000
62,3,46,3.750000
63,2,52,3.510000
64,1,9,3.380000
65,1,2,3.140000
66,1,78,2.970000
67,1,35,2.940000
68,1,83,2.830000
69,1,81,2.840000
70,1,9,2.730000
71,1,52,2.500000
72,1,89,2.240000
73,1,39,1.970000
74,1,92,1.700000
75,1,10,1.540000
76,1,79,1.260000
77,1,41,1.330000
78,0,3,1.140000
79,0,45,1.020000
80,0,1,1.000000
81,0,62,1.080000
82,0,68,1.080000
83,0,30,1.220000
84,0,36,1.160000
85,0,2,1.120000
86,0,51,1.080000
87,0,53,1.000000
88,0,3,1.010000
89,0,58,1.180000
90,0,19,1.170000
91,0,35,0.970000
92,0,6,0.780000
93,0,80,0.610000
94,0,5,0.540000
95,0,40,0.640000
96,0,26,0.670000
97,0,47,0.790000
98,0,15,0.710000
99,0,71,0.660000
100,0,8,0.720000
101,0,44,0.690000
102,0,45,0.500000
103,0,58,0.540000
104,0,75,0.490000
105,0,14,0.470000
106,0,28,0.340000
107,0,1,0.330000
108,0,52,0.370000
109,0,12,0.450000
110,0,61,0.300000
111,0,56,0.250000
112,0,33,0.330000
113,0,68,0.520000
114,0,32,0.510000
115,0,15,0.390000
116,0,54,0.410000
117,0,21,0.420000
118,0,23,0.350000
119,0,31,0.490000
120,0,77,0.460000
121,0,14,0.370000
122,0,85,0.400000
123,0,27,0.190000
