Generation,Min Conflict,Max Conflict,Avg Conflict
1,254,329,295.610000
2,260,330,296.280000
3,253,330,294.370000
4,253,330,294.050000
5,253,330,293.600000
6,252,326,292.240000
7,252,336,293.340000
8,250,339,294.550000
9,250,339,294.580000
10,248,343,295.560000
11,248,337,295.860000
12,244,338,297.090000
13,252,348,297.050000
14,252,351,296.060000
15,252,354,296.500000
16,240,351,296.050000
17,252,348,295.590000
18,256,334,293.120000
19,264,334,294.790000
20,253,334,294.000000
21,253,334,294.190000
22,253,334,296.860000
23,253,360,297.390000
24,253,345,298.240000
25,260,345,296.520000
26,254,345,296.720000
27,254,344,295.540000
28,256,340,294.320000
29,256,334,294.180000
30,258,332,292.780000
31,259,340,292.960000
32,242,336,292.110000
33,242,336,291.670000
34,243,330,292.690000
35,256,370,293.280000
36,256,369,294.030000
37,252,369,295.740000
38,258,328,296.650000
39,253,328,295.760000
40,236,328,293.860000
41,236,341,295.120000
42,263,341,296.200000
43,259,338,297.540000
44,254,342,298.060000
45,247,338,297.810000
46,239,334,296.310000
47,239,334,294.320000
48,239,334,293.250000
49,239,328,293.970000
50,263,332,296.200000
51,267,334,297.800000
52,261,323,297.350000
53,259,342,297.570000
54,262,336,299.160000
55,247,336,299.430000
56,256,331,298.060000
57,263,331,297.110000
58,263,332,296.520000
59,257,334,295.170000
60,257,334,294.920000
61,244,332,293.400000
62,257,332,293.070000
63,257,347,292.380000
64,251,347,292.500000
65,259,347,294.760000
66,259,353,294.790000
67,246,337,295.220000
68,262,333,295.480000
69,263,343,293.870000
70,244,330,294.000000
71,268,328,294.680000
72,249,328,293.390000
73,249,328,294.950000
74,249,328,294.620000
75,249,325,294.450000
76,249,328,294.640000
77,249,328,296.170000
78,249,336,297.230000
79,249,339,298.240000
80,249,339,297.330000
81,249,333,297.190000
82,249,330,296.290000
83,249,328,295.710000
84,249,337,296.770000
85,263,337,297.500000
86,263,334,296.060000
87,263,334,295.040000
88,263,337,295.160000
89,254,337,296.220000
90,252,337,296.800000
91,252,346,297.950000
92,254,339,295.710000
93,254,334,295.030000
94,254,331,294.340000
95,252,331,293.120000
96,253,332,294.590000
97,248,332,293.130000
98,253,332,292.680000
99,253,338,293.380000
100,253,327,291.630000
101,252,335,292.200000
102,253,333,292.200000
103,247,333,292.060000
104,247,323,291.820000
105,251,344,293.770000
106,251,337,294.600000
107,253,327,293.150000
108,255,334,293.260000
109,255,352,294.620000
110,248,354,293.480000
111,246,349,292.860000
112,248,365,293.470000
113,248,344,294.190000
114,258,344,295.170000
115,248,344,295.500000
116,248,331,295.430000
117,248,331,293.980000
118,258,329,294.260000
119,258,327,294.710000
120,258,342,293.800000
121,259,335,293.430000
122,259,323,293.090000
123,254,329,293.200000
124,244,325,292.120000
125,246,328,290.780000
126,246,324,290.390000
127,246,326,291.890000
128,248,330,292.600000
129,247,329,291.460000
130,252,324,290.150000
131,252,324,291.600000
132,252,349,292.930000
133,236,349,291.940000
134,236,321,292.850000
135,253,334,293.120000
136,253,336,295.410000
137,248,336,297.310000
138,248,345,297.860000
139,248,345,297.110000
140,256,353,297.180000
141,251,353,296.200000
142,261,344,299.080000
143,256,344,296.060000
144,257,344,295.510000
145,250,342,294.200000
146,250,342,293.650000
147,250,328,292.510000
148,250,328,292.260000
149,253,326,292.040000
150,251,325,293.690000
151,251,340,295.320000
152,251,340,294.780000
153,251,335,293.280000
154,249,336,291.850000
155,262,331,292.820000
156,259,333,293.020000
157,261,333,294.740000
158,246,344,296.100000
159,264,344,295.890000
160,264,344,294.740000
161,264,330,293.400000
162,264,351,293.880000
163,262,351,294.540000
164,258,351,295.050000
165,257,337,294.380000
166,260,338,293.130000
167,255,338,293.210000
168,249,338,291.060000
169,244,338,291.750000
170,244,330,292.450000
171,241,333,293.440000
172,254,324,292.260000
173,247,324,291.960000
174,260,324,291.870000
175,260,326,293.090000
176,256,329,294.500000
177,255,337,294.520000
178,258,337,295.880000
179,258,337,296.190000
180,258,335,295.100000
181,262,333,293.380000
182,253,336,293.030000
183,259,329,292.380000
184,259,326,291.750000
185,260,338,292.700000
186,262,338,294.290000
187,259,338,293.700000
188,262,331,294.390000
189,266,345,294.840000
190,260,345,295.480000
191,253,345,294.840000
192,253,345,295.920000
193,251,345,297.240000
194,251,335,295.490000
195,243,337,293.970000
196,250,337,295.280000
197,250,339,295.560000
198,260,327,295.780000
199,250,327,295.410000
200,259,327,293.410000
201,256,328,292.490000
202,259,334,294.230000
203,259,330,293.870000
204,259,330,294.870000
205,253,330,294.340000
206,265,339,296.430000
207,255,339,295.700000
208,255,337,297.080000
209,258,333,294.590000
210,255,333,294.940000
211,254,333,294.550000
212,249,333,295.080000
213,249,333,293.770000
214,259,333,294.340000
215,261,333,295.210000
216,254,333,293.820000
217,255,340,294.490000
218,257,340,295.050000
219,256,340,294.420000
220,261,340,295.000000
221,263,332,296.660000
222,258,332,297.250000
223,262,332,295.950000
224,267,338,296.110000
225,265,338,296.290000
226,251,343,296.390000
227,251,345,296.270000
228,249,338,296.140000
229,249,338,295.130000
230,249,327,293.920000
231,254,328,292.750000
232,234,328,293.150000
233,257,333,293.260000
234,257,328,294.420000
235,262,328,296.550000
236,267,328,297.740000
237,264,328,298.470000
238,256,337,297.430000
239,245,326,295.260000
240,245,337,295.360000
241,256,337,295.250000
242,256,337,294.750000
243,256,337,294.270000
244,261,331,292.230000
245,257,334,292.750000
246,257,334,294.580000
247,251,334,294.700000
248,251,335,293.700000
249,257,341,293.380000
250,257,331,292.600000
251,256,331,293.250000
252,254,334,293.890000
253,254,334,294.240000
254,261,334,294.390000
255,259,334,294.990000
256,259,331,294.060000
257,254,334,295.730000
258,254,345,294.360000
259,254,345,293.590000
260,254,345,293.110000
261,254,338,293.810000
262,243,328,293.480000
263,262,328,294.170000
264,262,325,294.530000
265,257,329,294.970000
266,249,329,293.540000
267,250,329,293.710000
268,250,332,293.230000
269,250,332,293.920000
270,254,328,293.470000
271,234,327,293.050000
272,234,325,292.990000
273,234,325,292.050000
274,244,318,293.130000
275,244,340,293.100000
276,244,340,292.570000
277,244,328,294.150000
278,244,325,293.200000
279,244,344,294.920000
280,244,344,293.930000
281,244,327,293.130000
282,244,336,294.570000
283,244,327,293.780000
284,256,327,295.220000
285,259,327,295.470000
286,263,336,297.610000
287,263,336,296.910000
288,263,336,296.640000
289,250,349,296.370000
290,250,340,294.200000
291,250,337,293.400000
292,250,334,293.830000
293,250,334,294.370000
294,250,334,292.640000
295,246,334,294.730000
296,248,334,295.110000
297,256,346,295.380000
298,256,350,295.190000
299,256,350,294.310000
300,256,350,296.220000
301,256,350,295.290000
302,256,346,294.050000
303,256,346,293.410000
304,259,334,292.890000
305,259,328,295.340000
306,259,328,293.500000
307,259,329,295.080000
308,259,330,294.840000
309,257,331,295.140000
310,253,328,295.050000
311,259,331,294.100000
312,259,325,293.700000
313,248,323,293.720000
314,259,323,292.750000
315,261,323,293.450000
316,256,338,292.690000
317,256,341,293.410000
318,225,348,295.110000
319,253,338,295.820000
320,253,335,294.280000
321,256,335,294.080000
322,250,335,294.350000
323,250,334,294.890000
324,250,324,294.510000
325,251,334,294.940000
326,251,338,294.680000
327,251,336,294.800000
328,251,332,295.880000
329,251,336,294.710000
330,251,336,292.120000
331,251,324,291.350000
332,244,335,289.740000
333,244,334,291.150000
334,253,330,290.410000
335,258,330,292.120000
336,259,334,291.380000
337,263,334,291.900000
338,263,332,292.930000
339,255,332,291.600000
340,255,331,293.220000
341,255,337,294.300000
342,255,345,294.710000
343,249,345,294.830000
344,258,337,294.610000
345,247,337,295.150000
346,258,337,295.110000
347,250,336,295.390000
348,255,340,295.780000
349,255,347,295.750000
350,255,347,294.840000
351,246,332,296.420000
352,247,332,296.700000
353,247,329,294.520000
354,263,341,294.480000
355,263,341,294.360000
356,258,341,295.390000
357,258,342,294.900000
358,264,342,296.230000
359,264,328,294.650000
360,261,346,296.510000
361,251,334,295.170000
362,247,356,294.190000
363,247,356,295.240000
364,253,356,295.060000
365,253,355,293.560000
366,261,348,294.780000
367,265,330,295.310000
368,256,330,294.410000
369,256,327,295.280000
370,264,334,295.950000
371,243,330,294.720000
372,250,335,295.910000
373,243,335,293.840000
374,243,373,294.830000
375,243,341,293.070000
376,244,341,294.610000
377,265,339,293.190000
378,265,339,292.780000
379,265,339,294.200000
380,265,339,292.600000
381,263,340,291.850000
382,257,340,293.350000
383,264,340,293.070000
384,255,340,291.870000
385,255,322,293.320000
386,248,338,293.010000
387,248,338,293.330000
388,248,338,294.610000
389,245,338,294.340000
390,252,343,295.320000
391,258,335,295.170000
392,250,327,293.200000
393,246,336,294.560000
394,256,333,293.510000
395,254,333,293.680000
396,259,330,292.120000
397,253,330,292.440000
398,241,327,291.820000
399,254,326,291.140000
400,253,333,291.220000
401,253,333,294.170000
402,247,331,294.450000
403,254,336,294.350000
404,260,336,293.630000
405,260,336,291.850000
406,259,341,291.680000
407,255,335,292.480000
408,253,338,292.380000
409,255,338,291.590000
410,255,332,292.470000
411,255,334,293.470000
412,255,338,293.690000
413,255,332,294.550000
414,247,331,295.150000
415,247,329,295.810000
416,259,343,294.710000
417,256,320,293.230000
418,256,321,291.400000
419,260,327,292.320000
420,256,327,292.850000
421,256,335,292.890000
422,254,335,291.150000
423,254,335,292.540000
424,261,326,293.410000
425,260,326,294.170000
426,260,326,292.930000
427,258,324,293.710000
428,254,325,293.530000
429,258,327,293.900000
430,258,329,294.050000
431,243,331,291.920000
432,252,346,292.200000
433,258,346,294.360000
434,258,346,293.290000
435,261,346,294.080000
436,260,330,294.520000
437,260,343,293.780000
438,259,343,294.930000
439,254,330,294.140000
440,254,330,295.100000
441,262,330,294.010000
442,261,324,294.310000
443,266,341,293.870000
444,266,356,293.400000
445,261,356,292.910000
446,255,356,293.350000
447,254,328,292.010000
448,238,337,292.260000
449,237,329,292.570000
450,235,324,292.330000
451,235,328,292.490000
452,254,324,293.960000
453,250,321,294.220000
454,262,341,295.720000
455,261,340,294.250000
456,253,340,293.480000
457,253,340,293.400000
458,253,355,293.240000
459,253,342,294.010000
460,251,340,292.850000
461,253,340,293.910000
462,253,333,295.170000
463,257,356,295.710000
464,246,343,293.750000
465,246,339,294.730000
466,253,339,295.620000
467,253,339,295.430000
468,253,339,294.880000
469,257,348,293.820000
470,257,348,293.800000
471,264,348,294.510000
472,264,344,294.210000
473,267,344,294.360000
474,253,344,294.070000
475,267,342,297.360000
476,245,339,296.870000
477,246,350,297.140000
478,246,339,297.120000
479,254,334,296.420000
480,252,330,296.130000
481,241,330,293.750000
482,236,327,293.970000
483,233,325,295.550000
484,256,340,295.080000
485,256,330,294.570000
486,256,342,295.230000
487,256,342,294.630000
488,255,342,295.430000
489,255,336,293.310000
490,246,335,294.440000
491,246,339,294.150000
492,246,339,294.870000
493,247,339,294.030000
494,247,339,294.210000
495,264,339,295.860000
496,255,339,295.470000
497,249,339,297.730000
498,249,339,297.220000
499,261,352,296.250000
500,259,339,296.940000
501,263,339,298.200000
502,263,339,298.300000
503,263,351,297.620000
504,263,333,296.670000
505,262,331,293.400000
506,254,343,294.700000
507,263,343,294.310000
508,256,343,295.240000
509,246,343,295.090000
510,246,345,295.080000
511,246,346,294.030000
512,265,336,294.060000
513,262,332,293.550000
514,262,332,293.880000
515,261,338,294.890000
516,261,338,294.120000
517,262,338,296.880000
518,256,333,298.460000
519,261,356,297.690000
520,263,354,297.890000
521,264,345,299.050000
522,254,345,296.690000
523,254,338,296.950000
524,257,338,296.390000
525,252,329,295.390000
526,252,327,295.320000
527,252,336,295.670000
528,251,320,295.340000
529,251,322,295.970000
530,251,338,294.430000
531,251,338,295.430000
532,264,330,295.280000
533,241,332,293.240000
534,241,324,293.400000
535,242,326,294.620000
536,222,329,292.750000
537,222,328,293.740000
538,226,328,293.410000
539,226,342,292.900000
540,226,342,293.610000
541,249,342,294.290000
542,249,342,295.040000
543,246,344,294.040000
544,246,344,294.560000
545,245,343,294.820000
546,244,343,293.180000
547,244,324,293.060000
548,265,350,294.420000
549,263,350,293.880000
550,256,351,292.870000
551,256,346,292.250000
552,256,340,293.220000
553,260,331,293.930000
554,258,326,293.770000
555,260,331,294.730000
556,253,332,294.290000
557,265,327,294.330000
558,254,325,292.650000
559,254,319,291.760000
560,254,320,290.350000
