Generation,Min Conflict,Max Conflict,Avg Conflict
1,19,42,31.170000
2,19,56,31.470000
3,19,48,31.500000
4,19,43,31.410000
5,21,45,31.510000
6,21,50,31.230000
7,17,52,31.690000
8,17,49,32.000000
9,19,49,31.100000
10,19,46,31.270000
11,20,46,31.550000
12,20,44,31.720000
13,23,50,32.020000
14,22,50,32.110000
15,20,43,31.450000
16,22,43,31.340000
17,22,41,31.340000
18,22,42,31.320000
19,21,49,31.420000
20,21,48,31.020000
21,20,52,30.620000
22,22,45,30.690000
23,18,46,30.790000
24,18,44,30.710000
25,22,45,30.650000
26,22,44,30.780000
27,20,51,31.030000
28,18,42,31.320000
29,18,43,31.470000
30,18,48,32.120000
31,18,47,31.400000
32,21,47,30.910000
33,21,44,30.660000
34,22,43,30.650000
35,22,45,31.070000
36,20,46,30.360000
37,21,40,30.460000
38,21,42,30.180000
39,21,42,30.730000
40,21,41,30.780000
41,20,39,30.840000
42,20,47,31.040000
43,20,42,30.930000
44,20,42,30.680000
45,19,44,30.980000
46,20,40,30.690000
47,20,46,30.520000
48,21,47,29.770000
49,21,48,30.070000
50,22,44,31.120000
51,21,43,31.030000
52,21,42,31.400000
53,23,52,31.260000
54,23,45,31.710000
55,23,47,31.440000
56,24,44,31.760000
57,23,45,31.430000
58,23,41,31.430000
59,24,41,31.750000
60,23,42,32.070000
61,22,45,32.170000
62,22,44,32.090000
63,21,44,31.520000
64,21,48,31.260000
65,22,44,30.960000
66,22,39,30.850000
67,24,41,31.170000
68,23,51,31.380000
69,24,45,31.030000
70,20,43,30.910000
71,20,42,30.200000
72,20,45,30.580000
73,22,45,30.700000
74,22,41,30.590000
75,22,45,31.260000
76,22,48,31.040000
77,22,45,30.810000
78,22,41,31.060000
79,22,43,31.460000
80,21,43,31.000000
81,21,41,31.040000
82,21,43,30.860000
83,23,39,30.550000
84,23,45,30.730000
85,21,42,31.120000
86,23,45,31.010000
87,19,42,31.090000
88,22,41,31.310000
89,22,41,31.040000
90,22,43,30.470000
91,22,48,30.660000
92,18,41,30.350000
93,18,40,30.310000
94,18,44,30.450000
95,18,45,30.480000
96,18,42,31.510000
97,18,46,31.580000
98,19,42,31.430000
99,22,42,31.160000
100,22,44,31.260000
101,22,44,31.050000
102,21,41,31.010000
103,21,42,31.390000
104,22,43,31.740000
105,21,42,31.680000
106,21,40,31.470000
107,22,42,31.440000
108,22,46,31.050000
109,23,41,30.570000
110,22,40,30.240000
111,22,43,30.500000
112,21,42,30.730000
113,21,48,30.350000
114,21,44,30.480000
115,22,39,30.800000
116,22,44,30.600000
117,21,39,30.650000
118,21,42,30.540000
119,21,43,30.730000
120,21,47,31.110000
121,21,43,30.990000
122,21,51,31.450000
123,22,42,31.050000
124,22,41,30.630000
125,21,43,30.800000
126,21,42,31.170000
127,20,54,31.170000
128,21,42,31.190000
129,22,41,30.640000
130,22,42,30.590000
131,22,40,30.520000
132,22,38,30.290000
133,20,41,30.450000
134,19,41,30.460000
135,20,40,30.150000
136,20,43,30.540000
137,20,43,30.810000
138,19,42,30.440000
139,19,42,30.430000
140,19,41,30.240000
141,19,44,30.370000
142,20,44,31.080000
143,21,42,31.040000
144,21,43,31.360000
145,16,41,31.000000
146,19,41,30.660000
147,22,40,30.750000
148,22,39,30.490000
149,21,41,30.150000
150,21,40,30.530000
151,21,45,30.310000
152,21,41,30.770000
153,21,40,30.590000
154,23,42,30.910000
155,22,44,30.690000
156,21,44,30.500000
157,21,43,30.830000
158,23,55,31.220000
159,22,42,31.150000
160,22,44,31.170000
161,20,42,31.280000
162,20,41,31.110000
163,23,43,31.240000
164,22,42,30.800000
165,21,47,31.310000
166,21,46,31.800000
167,22,48,32.190000
168,22,44,31.870000
169,23,46,31.830000
170,22,47,31.460000
171,22,42,31.200000
172,20,42,31.400000
173,20,43,31.000000
174,20,40,30.620000
175,20,42,30.340000
176,22,40,30.610000
177,22,41,30.770000
178,24,44,31.200000
179,22,45,31.250000
180,22,45,31.330000
181,22,44,30.870000
182,21,42,31.030000
183,21,51,30.840000
184,19,39,30.360000
185,19,43,30.300000
186,19,42,30.280000
187,19,40,30.320000
188,19,43,30.780000
189,19,43,30.710000
190,19,41,30.570000
191,19,50,30.730000
192,19,42,30.520000
193,19,44,30.440000
194,20,40,30.110000
195,21,40,29.740000
196,22,42,30.530000
197,22,44,30.560000
198,22,46,30.840000
199,21,44,31.010000
200,21,46,31.130000
201,24,44,30.790000
202,22,42,30.220000
203,21,44,29.720000
204,20,45,29.810000
205,20,45,30.320000
206,20,46,30.510000
207,20,41,30.240000
208,20,46,30.470000
209,20,45,30.490000
210,20,44,30.120000
211,20,41,30.440000
212,21,40,30.460000
213,21,43,30.410000
214,21,44,30.530000
215,21,44,30.590000
216,18,42,30.090000
217,23,42,30.920000
218,23,42,31.090000
219,24,51,31.070000
220,22,43,30.810000
221,24,43,31.020000
222,23,40,31.010000
223,22,39,30.770000
224,18,44,30.590000
225,21,48,30.610000
226,20,42,30.660000
227,19,42,30.440000
228,19,41,29.910000
229,19,42,30.180000
230,19,40,30.350000
231,19,40,30.560000
232,19,51,30.860000
233,22,40,30.300000
234,22,44,30.100000
235,19,45,30.390000
236,19,40,30.300000
237,21,51,30.780000
238,21,46,30.590000
239,20,41,30.410000
240,20,41,30.240000
241,19,40,29.730000
242,19,39,29.070000
243,20,39,29.460000
244,20,43,29.630000
245,18,42,29.800000
246,20,40,29.700000
247,20,45,29.900000
248,20,44,30.210000
249,20,39,29.680000
250,19,38,29.620000
251,19,45,29.780000
252,21,44,30.100000
253,21,39,29.960000
254,20,42,30.620000
255,19,42,30.670000
256,19,46,30.790000
257,19,44,30.770000
258,19,42,30.990000
259,21,46,30.330000
260,21,40,29.990000
261,21,41,29.940000
262,22,42,30.070000
263,18,41,29.560000
264,21,41,29.570000
265,20,39,29.460000
266,21,43,30.040000
267,21,40,30.620000
268,19,45,30.020000
269,21,42,30.560000
270,21,45,30.420000
271,21,39,30.140000
272,19,43,29.810000
273,19,41,29.650000
274,19,38,29.690000
275,19,39,29.510000
276,19,41,29.970000
277,19,40,30.270000
278,20,41,29.930000
279,19,41,29.720000
280,19,43,29.650000
281,19,38,29.400000
282,19,43,29.700000
283,19,38,29.620000
284,19,40,29.640000
285,19,45,29.790000
286,20,45,29.850000
287,20,41,30.250000
288,20,39,30.140000
289,19,42,29.920000
290,19,40,29.960000
291,19,40,29.600000
292,19,43,30.000000
293,20,42,29.800000
294,20,39,29.730000
295,20,40,29.480000
296,21,41,29.100000
297,19,38,28.950000
298,18,38,29.110000
299,18,44,29.230000
300,18,36,29.030000
301,20,43,29.430000
302,21,40,30.250000
303,21,42,30.590000
304,20,42,30.620000
305,18,39,30.030000
306,17,37,29.870000
307,20,40,29.850000
308,21,38,30.050000
309,20,44,29.570000
310,20,41,29.610000
311,21,44,29.530000
312,22,43,29.700000
313,22,48,29.600000
314,20,45,29.930000
315,20,43,29.610000
316,20,42,29.440000
317,21,39,29.520000
318,21,42,30.090000
319,21,38,30.090000
320,20,42,30.290000
321,20,45,29.990000
322,21,45,30.330000
323,21,41,30.180000
324,21,40,29.720000
325,21,39,29.820000
326,21,42,29.560000
327,21,40,29.310000
328,21,39,29.410000
329,21,39,29.870000
330,21,43,30.090000
331,20,39,29.640000
332,20,38,29.580000
333,20,39,29.730000
334,21,39,29.810000
335,21,44,29.490000
336,22,45,29.400000
337,22,41,29.680000
338,22,40,29.550000
339,22,40,29.300000
340,20,38,29.660000
341,22,38,29.120000
342,21,39,29.250000
343,21,39,29.180000
344,22,38,29.880000
345,22,40,29.740000
346,20,38,29.030000
347,20,43,29.050000
348,20,40,28.750000
349,20,37,29.110000
350,20,38,29.070000
351,20,45,29.450000
352,22,55,29.350000
353,21,41,29.220000
354,22,38,29.290000
355,22,37,29.390000
356,18,38,28.900000
357,20,37,28.810000
358,20,39,28.680000
359,20,39,29.080000
360,20,37,29.280000
361,20,43,28.550000
362,18,35,28.720000
363,18,40,28.070000
364,18,44,28.060000
365,18,35,27.830000
366,14,41,27.260000
367,18,41,27.450000
368,18,36,27.560000
369,20,38,27.570000
370,20,47,27.570000
371,19,41,27.600000
372,21,39,27.900000
373,21,37,28.040000
374,17,37,27.720000
375,19,35,28.130000
376,19,36,27.890000
377,19,35,27.990000
378,20,37,27.860000
379,19,35,27.200000
380,17,35,27.400000
381,17,34,27.500000
382,18,39,27.670000
383,18,39,28.260000
384,19,43,28.230000
385,19,41,28.340000
386,18,41,28.100000
387,18,39,28.540000
388,18,37,28.460000
389,18,41,28.390000
390,18,41,28.630000
391,18,38,28.310000
392,19,41,28.520000
393,20,41,28.910000
394,20,38,28.850000
395,18,38,28.620000
396,18,42,28.620000
397,21,41,28.880000
398,19,37,28.610000
399,18,40,28.150000
400,17,40,28.240000
401,21,45,28.430000
402,20,40,28.350000
403,21,45,28.360000
404,18,38,28.130000
405,17,40,28.250000
406,17,40,28.230000
407,17,50,28.420000
408,17,50,28.970000
409,13,42,28.790000
410,13,42,28.720000
411,13,42,28.380000
412,17,40,28.200000
413,20,37,27.870000
414,20,38,27.750000
415,20,40,27.810000
416,20,41,28.070000
417,17,38,27.710000
418,17,40,27.810000
419,17,39,27.800000
420,17,38,27.700000
421,16,37,27.330000
422,16,42,27.690000
423,17,41,27.840000
424,17,38,27.430000
425,16,40,27.260000
426,16,38,27.040000
427,16,38,27.130000
428,14,35,27.140000
429,15,39,27.020000
430,15,36,26.980000
431,15,53,27.410000
432,19,37,27.730000
433,18,39,27.760000
434,17,39,27.650000
435,17,38,27.410000
436,18,40,27.630000
437,17,38,27.430000
438,17,39,27.650000
439,18,37,27.720000
440,18,40,27.670000
441,18,36,27.470000
442,16,37,27.110000
443,17,35,26.830000
444,18,38,26.780000
445,18,42,26.840000
446,18,39,27.390000
447,17,37,27.240000
448,16,43,27.120000
449,15,38,27.700000
450,18,38,27.560000
451,18,38,27.010000
452,19,38,27.360000
453,19,40,27.150000
454,19,35,26.830000
455,17,36,26.750000
456,17,39,26.310000
457,17,41,26.400000
458,18,38,26.560000
459,18,39,26.570000
460,18,37,26.700000
461,14,38,26.750000
462,19,39,27.130000
463,19,35,27.110000
464,20,35,27.110000
465,18,46,27.540000
466,18,40,27.250000
467,17,39,26.900000
468,20,36,26.660000
469,18,35,26.840000
470,16,36,26.580000
471,16,36,26.520000
472,16,35,27.010000
473,18,39,26.900000
474,18,37,26.960000
475,19,44,27.310000
476,17,38,27.270000
477,17,36,26.980000
478,17,37,27.410000
479,16,39,27.410000
480,16,38,27.430000
481,16,39,27.300000
482,18,37,27.160000
483,19,37,27.230000
484,20,37,27.140000
485,20,34,26.840000
486,17,35,26.520000
487,17,37,26.510000
488,17,37,26.290000
489,17,40,26.930000
490,19,36,26.620000
491,17,35,26.110000
492,16,40,26.300000
493,17,39,26.580000
494,14,38,26.410000
495,16,36,26.420000
496,17,37,25.930000
497,18,38,25.780000
498,16,38,26.090000
499,16,37,26.020000
500,16,36,26.370000
501,16,36,26.330000
502,17,39,25.910000
503,17,35,25.880000
504,17,40,26.170000
505,17,48,26.550000
506,14,36,26.520000
507,14,39,26.730000
508,15,37,26.270000
509,16,34,25.880000
510,15,37,25.640000
511,15,33,25.630000
512,15,36,25.180000
513,16,35,24.620000
514,17,33,24.970000
515,12,35,24.930000
516,14,41,25.220000
517,15,35,25.540000
518,18,36,25.450000
519,18,35,25.080000
520,16,35,25.270000
521,16,34,25.260000
522,15,35,24.990000
523,16,36,25.300000
524,16,36,25.240000
525,15,41,25.430000
