Generation,Min Conflict,Max Conflict,Avg Conflict
1,22,43,33.340000
2,22,43,31.840000
3,22,45,30.760000
4,24,46,30.500000
5,21,38,30.240000
6,21,39,28.870000
7,21,40,29.200000
8,20,41,28.630000
9,20,37,28.260000
10,19,42,27.730000
11,19,41,27.010000
12,19,36,25.870000
13,18,37,25.250000
14,18,33,23.760000
15,18,34,22.880000
16,19,33,23.010000
17,18,28,22.530000
18,18,30,21.830000
19,17,31,21.260000
20,16,37,21.780000
21,15,28,21.730000
22,15,27,21.110000
23,15,30,20.860000
24,15,27,20.570000
25,15,28,20.120000
26,11,29,19.620000
27,11,26,18.880000
28,11,25,17.930000
29,11,25,17.540000
30,12,23,17.140000
31,12,24,16.370000
32,10,21,15.640000
33,11,22,14.970000
34,10,21,14.370000
35,11,19,13.800000
36,11,18,13.350000
37,11,19,13.400000
38,11,16,13.080000
39,9,19,13.030000
40,9,18,12.980000
41,9,19,12.890000
42,9,18,12.810000
43,9,17,12.400000
44,9,15,11.610000
45,8,16,11.060000
46,8,16,10.720000
47,8,15,10.520000
48,8,15,10.100000
49,6,15,9.760000
50,6,14,9.580000
51,6,15,9.340000
52,5,14,9.100000
53,5,14,8.990000
54,5,15,8.800000
55,5,13,8.840000
56,5,13,8.650000
57,4,12,8.230000
58,4,14,7.870000
59,4,13,7.740000
60,4,10,7.090000
61,4,13,6.430000
62,4,11,6.110000
63,4,13,5.850000
64,4,11,5.720000
65,4,11,5.610000
66,4,10,5.350000
67,4,12,5.270000
68,4,9,5.150000
69,2,9,4.960000
70,2,7,4.830000
71,4,10,4.830000
72,4,11,4.880000
73,2,9,4.770000
74,2,10,4.380000
75,2,9,4.330000
76,2,8,4.130000
77,2,8,3.990000
78,2,8,3.990000
79,2,7,3.840000
80,2,8,3.450000
81,2,10,3.540000
82,2,8,3.530000
83,2,11,3.390000
84,2,7,3.100000
85,2,7,2.860000
86,2,7,2.350000
87,2,7,2.340000
88,2,7,2.300000
89,2,8,2.310000
90,2,7,2.510000
91,2,6,2.370000
92,0,6,2.200000
93,0,6,2.220000
94,0,7,2.110000
95,0,5,2.000000
96,0,9,2.190000
97,0,7,2.080000
98,0,8,2.270000
99,0,8,2.290000
100,0,6,2.290000
101,0,8,2.270000
102,0,5,2.000000
103,0,7,1.710000
104,0,5,1.400000
105,0,4,1.110000
106,0,6,0.850000
107,0,4,0.660000
108,0,5,0.340000
109,0,4,0.440000
110,0,5,0.310000
111,0,3,0.330000
112,0,4,0.230000
113,0,6,0.340000
114,0,5,0.360000
115,0,4,0.510000
116,0,4,0.300000
117,0,4,0.300000
118,0,4,0.190000
119,0,4,0.190000
120,0,3,0.180000
121,0,4,0.210000
122,0,4,0.460000
123,0,4,0.260000
124,0,4,0.220000
125,0,7,0.240000
126,0,5,0.360000
127,0,5,0.470000
128,0,4,0.330000
129,0,4,0.240000
130,0,4,0.300000
131,0,4,0.130000
132,0,4,0.220000
133,0,5,0.300000
134,0,8,0.260000
135,0,4,0.200000
136,0,4,0.230000
137,0,4,0.190000
138,0,6,0.190000
139,0,4,0.280000
140,0,4,0.390000
141,0,4,0.460000
142,0,4,0.270000
143,0,4,0.270000
144,0,4,0.240000
145,0,6,0.370000
146,0,4,0.340000
147,0,4,0.380000
148,0,4,0.250000
149,0,6,0.310000
150,0,4,0.380000
151,0,3,0.360000
152,0,4,0.300000
153,0,3,0.190000
154,0,4,0.140000
155,0,3,0.180000
156,0,4,0.200000
157,0,4,0.160000
158,0,7,0.350000
159,0,6,0.440000
