Generation,Min Conflict,Max Conflict,Avg Conflict
1,22,52,31.900000
2,22,44,31.070000
3,21,44,30.030000
4,17,48,29.630000
5,21,39,29.000000
6,19,41,28.240000
7,20,46,27.910000
8,20,37,27.720000
9,19,37,27.200000
10,17,35,25.730000
11,19,34,25.180000
12,18,41,24.440000
13,14,38,23.900000
14,14,32,23.370000
15,13,37,22.190000
16,14,38,21.180000
17,14,32,21.730000
18,14,31,20.730000
19,12,25,18.740000
20,10,26,17.750000
21,12,28,17.190000
22,11,27,16.340000
23,10,24,15.960000
24,10,24,15.820000
25,10,23,15.270000
26,10,23,14.940000
27,10,25,14.440000
28,10,20,13.920000
29,10,18,13.250000
30,8,18,12.880000
31,9,18,12.260000
32,9,16,11.600000
33,9,15,11.010000
34,9,14,10.580000
35,9,14,10.460000
36,8,13,10.310000
37,8,14,10.020000
38,8,16,10.190000
39,8,16,10.220000
40,8,17,10.190000
41,8,16,10.300000
42,7,14,9.960000
43,7,13,9.560000
44,7,16,9.370000
45,5,14,9.250000
46,5,13,9.020000
47,5,14,8.780000
48,7,17,8.540000
49,7,13,8.290000
50,6,12,8.310000
51,5,13,8.070000
52,5,15,7.930000
53,6,12,7.850000
54,5,13,7.790000
55,5,12,7.580000
56,4,12,7.380000
57,4,12,7.200000
58,3,10,7.040000
59,3,10,6.730000
60,3,11,6.370000
61,3,10,6.200000
62,3,9,6.010000
63,3,11,5.680000
64,3,10,5.470000
65,3,8,4.900000
66,2,7,4.350000
67,2,8,4.080000
68,2,10,4.150000
69,2,8,3.980000
70,2,7,3.730000
71,2,10,3.650000
72,1,8,3.550000
73,1,8,3.440000
74,1,6,3.600000
75,1,6,3.320000
76,1,7,3.050000
77,1,6,2.800000
78,1,5,2.660000
79,1,7,2.320000
80,1,6,2.190000
81,1,7,1.960000
82,1,7,1.980000
83,1,6,1.770000
84,1,8,1.780000
85,1,6,1.550000
86,1,4,1.540000
87,1,6,1.380000
88,1,5,1.280000
89,1,7,1.350000
90,1,7,1.530000
91,1,6,1.420000
