Generation,Min Conflict,Max Conflict,Avg Conflict
1,54,85,67.610000
2,54,85,67.900000
3,53,84,67.430000
4,51,84,67.190000
5,45,83,67.040000
6,47,83,67.020000
7,45,93,67.080000
8,50,87,67.630000
9,50,90,69.160000
10,47,87,69.460000
11,51,99,69.730000
12,50,92,70.230000
13,50,86,69.830000
14,50,89,70.090000
15,50,83,69.670000
16,53,93,69.100000
17,54,83,69.130000
18,53,87,69.020000
19,53,90,69.710000
20,54,87,69.120000
21,52,83,68.340000
22,52,86,67.660000
23,48,82,67.750000
24,48,90,68.120000
25,49,85,68.130000
26,48,86,67.480000
27,48,83,67.260000
28,48,82,67.390000
29,43,80,66.660000
30,43,81,66.710000
31,52,81,67.490000
32,52,86,67.600000
33,50,83,67.880000
34,49,92,68.830000
35,52,92,68.010000
36,53,87,67.950000
37,53,84,68.350000
38,53,86,68.330000
39,53,86,68.210000
40,54,83,68.440000
41,55,83,69.130000
42,54,88,69.250000
43,45,84,69.130000
44,45,84,69.260000
45,50,92,69.260000
46,56,83,68.920000
47,55,82,68.620000
48,54,85,68.790000
49,54,86,68.570000
50,53,83,68.240000
51,51,82,68.290000
52,53,94,67.850000
53,53,84,67.360000
54,50,86,67.050000
55,50,88,67.230000
56,53,92,67.820000
57,53,83,67.580000
58,47,82,66.720000
59,47,83,66.880000
60,47,83,67.430000
61,47,87,67.820000
62,47,82,67.380000
63,51,82,67.170000
64,51,80,66.380000
65,51,84,66.560000
66,52,88,66.900000
67,53,84,67.060000
68,49,88,67.040000
69,49,94,67.090000
70,48,86,67.060000
71,48,82,67.790000
72,48,80,67.560000
73,48,80,67.130000
74,50,81,67.060000
75,53,80,67.100000
76,51,83,67.530000
77,54,83,67.690000
78,51,84,67.870000
79,54,85,67.320000
80,52,88,68.070000
81,53,85,68.300000
82,50,85,67.890000
83,50,85,67.840000
84,47,94,68.280000
85,49,85,68.800000
86,49,84,68.910000
87,48,85,69.190000
88,52,85,69.290000
89,52,84,69.320000
90,55,82,69.610000
91,55,87,70.050000
92,56,83,69.970000
93,53,87,69.740000
94,54,82,69.410000
95,53,86,68.810000
96,53,85,68.810000
97,53,86,68.760000
98,54,92,68.860000
99,50,84,68.530000
100,50,88,68.570000
101,50,83,68.010000
102,50,83,67.780000
103,50,86,67.840000
104,51,86,69.260000
105,51,89,69.100000
106,51,87,68.960000
107,47,86,68.210000
108,47,84,68.250000
109,51,81,67.830000
110,52,92,67.320000
111,50,80,66.900000
112,47,80,66.080000
113,47,80,66.140000
114,47,79,66.070000
115,47,79,66.570000
116,52,79,66.810000
117,53,81,67.270000
118,50,80,66.960000
119,50,79,66.500000
120,50,81,65.890000
121,49,79,65.880000
122,53,79,66.010000
123,51,79,66.380000
124,54,81,66.910000
125,54,87,66.610000
126,51,81,66.610000
127,50,79,66.680000
128,48,83,67.010000
129,48,81,67.320000
130,50,80,67.330000
131,50,81,67.090000
132,50,82,67.330000
133,50,83,67.300000
134,52,79,67.430000
135,52,81,66.550000
136,45,82,65.920000
137,47,85,66.950000
138,47,78,66.420000
139,47,78,65.220000
140,47,83,65.390000
141,49,81,65.270000
142,49,77,65.140000
143,50,80,65.500000
144,50,78,65.040000
145,48,85,65.120000
146,48,87,65.140000
147,47,80,65.760000
148,47,81,66.010000
149,47,83,65.790000
150,47,81,66.020000
151,47,85,65.860000
152,50,82,65.490000
153,47,81,65.370000
154,47,83,65.460000
155,47,80,66.010000
156,51,78,65.310000
157,51,81,65.400000
158,51,78,65.480000
159,52,82,65.420000
160,48,77,64.860000
161,48,82,64.540000
162,51,83,65.040000
163,51,78,64.960000
164,51,80,65.210000
165,51,81,65.790000
166,51,80,65.940000
167,51,78,65.120000
168,46,86,65.150000
169,46,80,64.870000
170,46,83,65.180000
171,46,81,65.400000
172,46,81,65.250000
173,46,79,65.020000
174,47,81,65.190000
175,52,78,64.890000
176,50,76,65.500000
177,50,78,64.710000
178,50,84,64.620000
179,50,77,64.700000
180,46,85,64.400000
181,45,82,64.220000
182,45,81,64.750000
183,50,78,64.680000
184,52,81,64.190000
185,54,80,64.650000
186,50,78,64.590000
187,49,84,63.970000
188,53,76,64.720000
189,50,81,64.680000
190,50,79,64.850000
191,52,77,64.450000
192,52,76,64.140000
193,51,78,64.290000
194,51,81,63.980000
195,50,83,64.480000
196,50,78,64.330000
197,50,76,64.230000
198,49,82,64.130000
199,47,82,63.410000
